"Post Type","Portfolio Categories","Portfolio Tags",Title,video_id,int_production_company,director,agency,sa_service_co,year,video_url
portfolio,"Freelance producer",,"PayPal “Welcome to the PayPal Economy”",https://vimeo.com/1109113722?fl=pl&fe=sh,"Slim Pictures, USA","Leonardo Dalessandri","The Community","Atomik Pictures",20250101,
portfolio,"Freelance producer",,"Persil “You Always Give Your Best”",https://vimeo.com/1109113722?fl=pl&fe=sh,"TwinFilm, Germany","Rudi Schwab",HeimatTBWA,Simpleman,20241201,
portfolio,"Freelance producer",,"CC&W “Sheet Cake Campaign”",https://vimeo.com/1109113722?fl=pl&fe=sh,"Film Deluxe, Germany","Jörn Threlfall","Brand Lounge",Superkind,20241101,
portfolio,"Freelance producer",,"Lotus Biscoff “Cookie – Family”",https://vimeo.com/1109113892?fl=pl&fe=sh,"Caviar, Belgium","Ben Mege","Dept. Brand and Advertising",Superkind,20240301,
portfolio,"Freelance producer",,"Lotus Biscoff “Spread - Office”",https://vimeo.com/1109115466?fl=pl&fe=sh,"Caviar, Belgium","Ben Mege","Dept. Brand and Advertising",Superkind,20240301,
