Title,video_id,director,int_production_company,agency,sa_service_co,year,Portfolio Categories,Portfolio Tags
Mountain Dew 'Bungee',https://vimeo.com/1111758054,Toby Tremlett,"Stillking, Prague","Impact/BBDO, Dubai",,20020101,Orange Films,Commercials
Mountain Dew 'Bungee',https://vimeo.com/1111758004,Richard Sloggett,"Russell Avis Productions, Dublin","DDFH&B, Dublin",,20020201,Orange Films,Commercials
Denny Ready Meals 'Speed',https://vimeo.com/1111757956,Colum Maguire,"Russell Avis Productions, Dublin","DDFH&B, Dublin",,20020201,Orange Films,Commercials
Denny Ready Meals 'Talking Pint',https://vimeo.com/1111757918,Colum Maguire,"Russell Avis Productions, Dublin","DDFH&B, Dublin",,20020201,Orange Films,Commercials
Almhof 'Concrete Jungle',https://vimeo.com/1111757883,Kees Dijkstra,"KC Films, Amsterdam","Floor Landsmeer BV, Landsmeer",,20021201,Orange Films,Commercials
Gamma 'Overloaded',https://vimeo.com/1111757812,Kees Dijkstra,"KC Films, Amsterdam","PPGH/JWT, Amsterdam",,20030101,Orange Films,Commercials
Gamma 'France',https://vimeo.com/1111757763,Kees Dijkstra,"KC Films, Amsterdam","PPGH/JWT, Amsterdam",,20030101,Orange Films,Commercials
O2 'Bubble Road',https://vimeo.com/1111757727,Daniel Barber,"Rose Hackney Barber, London","VCCP, London",,20030301,Orange Films,Commercials
Meteor 'One Hand',https://vimeo.com/1111757690,Dominic Murgia,"Russell Avis Productions, Dublin","Chemistry, Dublin",,20030301,Orange Films,Commercials
Meteor 'Covered',https://vimeo.com/1111757652,Dominic Murgia,"Russell Avis Productions, Dublin","Chemistry, Dublin",,20030301,Orange Films,Commercials
Leerdammer 'Charactere',https://vimeo.com/1111757603,Kees Dijkstra,"KC Films, Amsterdam","Leo Burnett, Amsterdam",,20030301,Orange Films,Commercials
Leerdammer 'Smeerkaas',https://vimeo.com/1111757575,Kees Dijkstra,"KC Films, Amsterdam","Leo Burnett, Amsterdam",,20030301,Orange Films,Commercials
Samsung 'Train',https://vimeo.com/1111757538,Daniel Barber,"Rose Hackney Barber, London","FCB, New York",,20030901,Orange Films,Commercials
Slovak Telekom 'Boomerang',https://vimeo.com/1111757489,Michal Baumbruck,"Promea Communications, Bratislava",,,20031101,Orange Films,Commercials
Nestle 'Chocapic',https://vimeo.com/1111757450,Bill Scarlett,"Wilf Noggins, London",,,20031201,Orange Films,Commercials
Centra 'Circle of Life',https://vimeo.com/1111757429,Rory Kelleher,"Russell Avis Productions, Dublin","Young, Dublin",,20031201,Orange Films,Commercials
Electrolux Frost-Free Freezer 'Not Thinking',https://vimeo.com/1111757406,Dan Nathan,"Serious Pictures, London","Lowe, London",,20040101,Orange Films,Commercials
Electrolux Profi Steam Oven '5 Star Luxury',https://vimeo.com/1111757377,Dan Nathan,"Serious Pictures, London","Lowe, London",,20040101,Orange Films,Commercials
Electrolux Vision Compact 'Great Outdoors',https://vimeo.com/1111757335,Dan Nathan,"Serious Pictures, London","Lowe, London",,20040101,Orange Films,Commercials
Electrolux Double Oven 'Every Eventuality',https://vimeo.com/1111757302,Dan Nathan,"Serious Pictures, London","Lowe, London",,20040101,Orange Films,Commercials
Carlsberg Pan 'Car Wash',https://vimeo.com/1111757263,Kees Dijkstra,"KC Films, Amsterdam","Imago RA, Zagreb",,20040201,Orange Films,Commercials
Absolut Level 'Balancing Act',https://vimeo.com/1111757219,Daniel Barber,"Rock Fight, Los Angeles","TVWA\Chiat\Day, New York",,20040201,Orange Films,Commercials
