Title,video_id,director,int_production_company,agency,sa_service_co,year
PayPal “Welcome to the PayPal Economy”,https://vimeo.com/1109113722?fl=pl&fe=sh,Leonardo Dalessandri,"Slim Pictures, USA",The Community,Atomik Pictures,20250101
Persil “You Always Give Your Best”,https://vimeo.com/1109113722?fl=pl&fe=sh,Rudi Schwab,"TwinFilm, Germany",HeimatTBWA\,Simpleman,20241201
CC&W “Sheet Cake Campaign”,https://vimeo.com/1109113722?fl=pl&fe=sh,Jörn Threlfall,"Film Deluxe, Germany",Brand Lounge,Superkind,20241101
Lotus Biscoff “Cookie – Family”,https://vimeo.com/1109113892?fl=pl&fe=sh,Ben Mege,"Caviar, Belgium",Dept. Brand and Advertising,Superkind,20240301
Lotus Biscoff “Spread - Office”,https://vimeo.com/1109115466?fl=pl&fe=sh,Ben Mege,"Caviar, Belgium",Dept. Brand and Advertising,Superkind,20240301
