id,Title,Permalink,"Portfolio Categories","Portfolio Tags",content_type,int_production_company,director,agency,year,video_id,photographer,record_label,rank_math_title,rank_math_focus_keyword
1345,"Coop 'Parking'",https://360films.co.za/portfolio/coop-parking/,"Orange Films",Commercials,commercials,"Embassy of Dreams, Munich","Manu Coeman","Springer & Jacoby, Hamburg",20061201,https://vimeo.com/1111755512,,,"Coop 'Parking'","previous commercials"
1346,"Citroen C1 'Rubikub'",https://360films.co.za/portfolio/citroen-c1-rubikub/,"Orange Films",Commercials,commercials,"Cosa Productions, Paris","No Brain","Scher Lafarge, Paris",20070101,https://vimeo.com/1111755468,,,"Citroen C1 'Rubikub'","previous commercials"
1347,"Nokia Siemens Networks",https://360films.co.za/portfolio/nokia-siemens-networks/,"Orange Films",Commercials,commercials,"Moving Brands, London","Jack Laurance","Nokia Siemens, London",20070101,https://vimeo.com/1111755351,,,"Nokia Siemens Networks","previous commercials"
1348,"Belgacom 'Marathon'",https://360films.co.za/portfolio/belgacom-marathon/,"Orange Films",Commercials,commercials,"Lovo Films, Brussels","Nic & Sune","Duval Guillaume, Brussels",20070101,https://vimeo.com/1111755127,,,"Belgacom 'Marathon'","previous commercials"
1349,"3 Bit 'Hydrant Revenge'",https://360films.co.za/portfolio/3-bit-hydrant-revenge/,"Orange Films",Commercials,commercials,"Lucky Man Films, Prague / Transparent, London","Jean-Marc Piche","Ogilvy & Mathe, Prague",20070201,https://vimeo.com/1112803018,,,"3 Bit 'Hydrant Revenge'","previous commercials"
1350,"Kingsford 'Tailgate'",https://360films.co.za/portfolio/kingsford-tailgate/,"Orange Films",Commercials,commercials,"Rock Fight, Los Angeles","Pep Bosch","DDB, San Francisco",20070301,https://vimeo.com/1111755014,,,"Kingsford 'Tailgate'","previous commercials"
1351,"Coop 'Seduction'",https://360films.co.za/portfolio/coop-seduction/,"Orange Films",Commercials,commercials,"Embassy of Dreams, Munich","Moritz Laube","Springer & Jacoby, Hamburg",20070201,https://vimeo.com/1111754961,,,"Coop 'Seduction'","previous commercials"
1352,"Loka 'The Fugitive'",https://360films.co.za/portfolio/loka-the-fugitive/,"Orange Films",Commercials,commercials,"Camp David Film, Stockholm","Christoffer von Reis","Åkestam Holst, Stockholm",20070201,https://vimeo.com/1111754910,,,"Loka 'The Fugitive'","previous commercials"
1353,"Air Emirates 'Emirates'",https://360films.co.za/portfolio/air-emirates-emirates/,"Orange Films",Commercials,commercials,"Storm Films, London","Nic Auerbch","Face to Face Limited, Dubai",20070301,https://vimeo.com/1111754707,,,"Air Emirates 'Emirates'","previous commercials"
1354,"GMF Insurance 'Bonus'",https://360films.co.za/portfolio/gmf-insurance-bonus/,"Orange Films",Commercials,commercials,"Partizan Lab, Paris","Valerie Pirson","Devarrieux Villaret, Paris",20070301,https://vimeo.com/1111754649,,,"GMF Insurance 'Bonus'","previous commercials"
1355,"Asahi Kasei",https://360films.co.za/portfolio/asahi-kasei/,"Orange Films",Commercials,commercials,"Robot Communications, Tokyo","Kousuke Ishige","Dentsu, Tokyo",20071101,https://vimeo.com/1111754621,,,"Asahi Kasei","previous commercials"
